Acronym,Translation
rbm,right behind me
hcbt1,he could be the one
tiatwtcc,this is a trap word to catch copiers
smho,screaming my head off
smhb,suck my hairy balls
vb,visual basic
pitr,parent in the room
vf,very funny
ph#,phone number
lusm,love you so much
sitb,sex in the but
vn,very nice
s2a,sent to all
s2r,send to receive
myfb,mind your fucking business
s2u,same to you
tbqf,to be quite frank
phm,please help me
yswnt,why sleep when not tired?
gudd,good
tbqh,to be quite honest
upos,you piece of shit
thku,thank you
balz,balls
phq,fuck you
ofc,of course
phat,pretty hot and tasty
ofn,old fucking news
wugowm,will you go out with me
phag,freak
glux,good luck
slgb,straight/lesbian/gay/bisexual
wtfever,what the fuck ever
wtmfh,what the mother fucking hell
olpc,one laptop per child
ruagoab,are you a girl or a boy
weg,wicked evil grin
nifok,naked in front of keyboard
wen,when
hi2u,hello
wev,whatever
fytd,fuck you to death
ijit,idiot
ihistr,i hope i spelled that right
nvr,never
h4xor,hacker
glu2,good luck to you too
ayte,alright
ayty,are you there yet
jdfi,just fucking do it
lysfm,love you so fucking much
nvm,never mind
uyab,up your ass bitch
mho,my humble opinion
mhm,yes
mhh,my head hurts
qltm,quietly laughing to myself
4yeo,for your eyes only
htfu,hurry the fuck up
2qt,too cute
istwfn,i stole this word from noslang.com
dqydj,don't quit your day job
naft,not a fucking thing
ujds,u just did shit
aitr,adult in the room
nafc,not appropriate for children
aite,alright
jtlyk,just to let you know
wdidn,what do i do now
pmfsl,piss my fucking self laughing
iwaa,it was an accident
hiet,height
shiznat,shit
burma,be undressed ready my angel
ianacl,i am not a copyright lawyer
eula,end user license agreement
4lyfe,for life
yrs,years
yru,why are you?
kmao,kick my ass off
gratz,congratulations
kmag,kiss my ass goodbye
grats,congratulations
funner,more fun
roflmgao,rolling on the floor laughing my gay ass off
y/o,years old
y/n,yes or no
2gether,together
whatevs,whatever
ilcul8r,i'll see you later
ino,i know
inh,i need help
hpy,happy
oaoa,over and over again
j2bs,just to be sure
chohw,come hell or high water
hpb,high ping bastard
wgas,who gives a shit
lmtfa,leave me the fuck alone
in2,into
wgac,who gives a crap
wgaf,who gives a fuck
eoc,end of conversation
onyd,oh no you didn't
eof,end of file
eod,end of day
kotl,kiss on the lips
eom,end of message
eos,end of story
eot,end of transmission
lcsnpc,low cost small notebook personal computer
onud,oh no you didn't
glnhf,good luck and have fun
r8p,rape
ilysm,i love you so much
imts,i meant to say
lurve,love
cml,call me later
cmh,call my house
cmb,comment me back
cma,cover my ass
roxxor,rock
yrusm,why are you so mean
cmw,cutting my wrists
cmt,comment
cms,content management system
lmamf,leave me alone mother fucker
whaletail,thong
dmaf,do me a favor
omgwtfit,"oh my god, what the fuck is that"
j2f,just too funny
j2c,just too cute
r-tard,retard
jcam,just checking away message
wnrn,why not right now
gla,good luck all
akp,alexander king project
glf,group looking for
aka,also known as
gbioua,go blow it out your ass
ntstt,not safe to talk
glu,girl like us
icsrg,i can still reach google
dy2h,damn you to hell
roffles,rolling on floor laughing
bro,brother
brh,be right here
brd,bored
brb,be right back
lymi,love you mean it
tn1,trust no-one
plos,parents looking over shoulder
lorrl,laugh out really really loud
plox,please
platcs,parent looking at the computer screen
plom,parents looking over me
yaqw,you are quite welcome
cml8r,call me later
wthigo,what the hell is going on
c2tc,cut to the chase
m473z,friends
m473s,friends
marvy,marvelous
s.i.n.g.l.e,"stay intoxicated nightly, get laid everyday."
tnx,thanks
ere,here
tnf,that's not funny
tna,tits and ass
qool,cool
indie,independent
imhbco,in my humble but correct opinion
uat,user acceptance testing
wtfmf,what the fuck mother fucker
plzkthx,"please? ok, thank you"
boati,bend over and take it
str8,straight
ggpaw,gotta go parents are watching
meatspace,the real world
uaaaa,universal association against acronym abuse
sk8er,skater
lal,laughing a little
lam,leave a message
lan,local area network
foshizzle,for sure
lak,love and kisses
bday,birthday
lgbtq,"lesbien, gay, bisexual, transgender and queer."
gmta,great minds think alike
lat,laugh at that
lau,laugh at you
f&e,forever and ever
ind2p,i need to pee
c14n,canonicalization
tmtmo,text me tomorrow
ttyiam,talk to you in a minute
luzar,loser
iwlu4e,i will love you for ever
lazor,laser
uwc,you are welcome
hbic,head bitch in charge
nsfw,not safe for work
nsfu,no sex for you
hbii,how big is it
zex,sex
luver,lover
ywsyls,you win some you lose some
wudev,whatever
upia,unsolicited pencil in anus
iht,i heard that
rockr,rocker
smexy,sexy
xgf,exgirlfriend
sfsg,so far so good
apreci8,appreciate
tlyk,to let you know
wgo,what's going on
gwytose,go waste your time on someone else
idby,i don't believe you
fcfs,first come first served
nts,note to self
tcoy,take care of yourself
ntt,need to talk
ntw,not to worry
ntk,need to know
ntm,not to much
ntn,nothing
ntb,not to bad
2mozz,tomorrow
iiuc,if i understand correctly
wrud,what are you doing
wruf,where are you from
champs,champions
omgroflmao,oh my god roll on the floor laughing my ass off
p3n15,penis
dogg,friend
bbsts,be back some time soon
gtgtb,got to go to bed
z'omg,oh my god
lmffo,laughing my fucking face off
r8pist,rapist
cmliuw2,call me later if you want to
d00d,dude
kiwf,kill it with fire
rofwl,rolling on the floor while laughing
p3n1s,penis
khitbash,kick her in the box and shove her
po po,police
bebe,baby
cihyn,can i have your number
ktc,kill the cat
ifthtb,i find that hard to belive
lulz,laughing out loud.
twdah,that was dumb as hell
idkwts,i don't know what to say
w.b.s.,write back soon
shyt,shit
h80r,hater
no pro,no problem
d8,date
d2,diablo 2
hru,how are you
hrs,hours
oday,software illegally obtained before it was released
h4kz0r5,hackers
313373,elite
hre,here
dn,don't know
dl,download
dm,deathmatch
dk,don't know
dh,dickhead
rotglmao,rolling on the ground laughing my ass off
df,dumb fuck
dg,don't go
dd,don't die
db,database
dc,don't care
da,the
ctpos,can't talk parent over sholder
gl hf,"good luck, have fun"
dw,don't worry
dt,double team
dp,display picture
qotd,quote of the day
twss,that's what she said
contribs,contributions
emm,email me
emo,emotional
twsy,that was so yeterday
w/o,with out
emp,eat my pussy
w/e,whatever
qoty,quote of the year
w/b,write back
w/,with
rotfwlmao,rolling on the floor while laughing my ass off
hiybbprqag,copying somebody else's search results
tfiik,the fuck if i know
w8,wait
gosad,go suck a dick
c2c,care to chat?
iukwim,if you know what i mean
lsfw,less safe for work
wg,wicked gril
wd,well done
wc,who cares
wb,welcome back
wn,when
wl,will
wk,week
wu,what's up?
cfas,care for a secret?
wp,wrong person
wy,why?
wtbh,what the bloody hell
cos,because
tfti,thanks for the information
smfpos,stupid mother fucking piece of shit
tfta,thanks for the add
ili,i love it
1sec,one second
cob,close of business
cod,call of duty
cof,crying on the floor
pleze,please
col,crying out loud
coo,cool
ily,i love you
wdutom,what do you think of me
fkin,fucking
j00,you
of10,often
g'nite,good night
noes,no
gn8,good night
mssg,message
wubmgf,will you be my girlfriend?
f00k,fuck.
wntd,what not to do
gnr,guns n' roses
isbya,im sorry but you asked
hau,how are you
aim,aol instant messanger
gng,going
b-day,birthday
gnn,get naked now
gno,going to do
n2n,need to know
n2m,not too much
ftmp,for the most part
n2g,not too good
ilyb,i love you bitch
ilyf,i'll love you forever
wthayd,what the heck are you doing
n2p,need to pee
ilyl,i love you loads
ilym, i love you more
pliz,please
dftba,don't forget to be awesome
lyke,like
pasii,put a sock in it
mcse,microsoft certified systems engineer
wshtf,when shit hits the fan
ily2,i love you too
nin,no its not
h*r,homestar runner
nib,new in box
nic,network interface card
nif,non internet friend
lomy,love of my life
shizzle,shit
nip,nothing in particular
th@,that
lyk3,like
thz,thank you
thx,thank you
tht,that
thr,there
tho,though
thn,then
tha,the
epa,emergency parent alert
l8t,later
l8s,later
l8r,see you later
goomh,get out of my head
wwyd2m,what would you do to me
l8a,later
fmfl,fuck my fucking life
thankx,thank you
iwuwh,i wish you were here
lolvq,laugh out loud very quietly
u4i,up for it
jftr,just for the record
53x,sex
stpd,stupid
mayb,maybe
smdb,suck my dick bitch
ibcd,idiot between chair & desk
nnfaa,no need for an apology
rnt,aren't
sfipmp,so funny i peed my pants
nimby,not in my backyard
fa-q,fuck you
nevr,never
idgac,i don't give a crap
idgad,i don't give a damn
idgaf,i don't give a fuck
pl8,plate
neva,never
nevm,never mind
bord,bored
n00bs,newbies
yvfw,you're very fucking welcome
anim8,animate
yki,you know it
ykn,you know nothing
ykm,you're killing me
ykw,you know what
idonno,i do not know
pls,please
plz,please
mmatp,meet me at the park
plx,please/thanks
smithwaws,smack me in the head with a wooden spoon
kthxbai,ok thanks bye!
whodi,friend
mmatc,meet me around the corner
obo,or best offer
obl,osama bin laden
obj,object
hby,how about you
ttyl8r,talk to you later
w/eva,whatever
wsop,world series of poker
obv,obviously
sxcy,sexy
wlcm,welcome
xyz,examine your zipper
wthwt,what the hell was that?
prfct,perfect
wam,wait a minute
dewd,dude
wai,what an idiot
waf,weird as fuck
wad,without a doubt
wab,what a bitch
gaalma,go away and leave me alone
waz,what is
tmoro,tomorrow
wau,what about you
wat,what
z0mg,oh my god
nmfp,not my fucking problem
aypi,and your point is
wwe,world wrestling entertainment
mty,empty
p33n,penis
mtr,matter
tgiff,thank god its fucking friday
r.i.p,rest in peace
mtl,more than likely
mtc,more to come
whyd,what have you done
mtf,more to follow
mtg,meeting
vwd,very well done
miself,myself
kssd,kissed
lezbean,lesbian
wayta,what are you talking about
hiik,hell if i know
pwcb,parents watching close by
iwmy,i will miss you
iyss,if you say so
iwmu,i will miss you
d.t.f,down to fuck
yvw,you're very welcome
gmybs,give me your best shot
puh-leaze,please
gigo,garbage in garbage out
sotr,sex on the road
wtfyb,what the fuck you bitch
loxen,laughing out loud
tpiwwp,this post is worthless without pictures
wtfya,what the fuck you asshole
roofles,rolling on the floor laughing
oh noez,oh no!
imsry,i am sorry
gud,good
bicbw,but i could be wrong
htf,how the fuck
iydmma,if you don't mind me asking
htc,hit the cell
hth,hope that helps
htr,hater
lmbo,laughing my butt off
t2m,talk to me
lyvm,love you very much
t2b,time to blunt
t2u,talking to you
gawd,god
rotfflmfao,rolling on the fucking floor laughing my fucking ass off
oways,oh wow are you serious
meatcurtain,woman's private parts
flames,angry comments
flamer,angry poster
brgds,best regards
gsave,global struggle against violent extremists
l0lz,laugh out loud
kthnxbai,"okay, thanks, bye"
db4l,drinking buddy for life
bpot,big pair of tits
wwdhd,what would david hasselhoff do
phuxor,fuck
fbk,facebook
pmpl,piss my pants laughing
bigd,big deal
bndm3ovr,bend me over
trani,transexual
ctfu,cracking the fuck up
wanker,masturbater
ctfd,calm the fuck down
focl,falling off chair laughing.
cam,camera
ctfo,chill the fuck out
ibs,internet bitch slap
ibt,i'll be there
ibw,i'll be waiting
noobie,new person
tmsidk,tell me somthing i don't know
chik,chick
spk,speak
ih8usm,i hate you so much
?^,what's up?
msmd,monkey see - monkey do
ligas,like i give a shit
mpaw,my parents are watching
aoe,age of empires
aoc,age of consent
aob,any other business
aon,all or nothing
aos,adult over shoulder
w911,wife in room
w8ing,waiting
lafs,love at first sight
laff,laugh
cybr,cyber
nowin,knowing
dgoai,don't go on about it
fragged,killed
no1,no one
cybl,call you back later
glln,got laid last night
pimfa,pain in my fucking ass
sok,it's ok
tjb,thats just boring
gd&r,"grins, ducks, and runs"
aymf,are you my friend
noc,naked on camera
nop,normal operating procedure
lpms,life pretty much sucks
itzk,it's ok
em,them
twyl,talk with you later
eg,evil grin
ef,fuck
contrib,contribution
ey,hey
ez,easy
eq,everquest
fyad,fuck you and die
fsob,fucking son of a bitch
fsod,frosn screen of death
fyah,fuck you asshole
u2u,up to you
4r3al,for real
ffcl,falling from chair laughing
ploms,parent looking over my shoulder
rln,real life name
lmp,lick my pussy
rlg,really loud giggle
rlf,real life friend
imnsho,in my not so humble opinion
plomb,parents looking over my back
rly,really
rlz,rules
lma,leave me alone
lmb,lick my balls
lmd,lick my dick
lmg,let me guess
bovered,bothered
gtsy,good to see you
suagooml,shut up and get out of my life
biotch,bitch
chillax,chill and relax
iawtc,i agree with this comment
tddup,till death do us part
xd,extreme droll
rino,republican in name only
xs,excess
xp,experience
iwsn,i want sex now
yid,"yes, i do"
*g*,grin
yim,yahoo instant messenger
fn,first name
fo,fuck off
thar,there
wuwtb,what do you want to talk about
wuwta,what do you want to talk about
pns,penis
dutma,don't you text me again
swtf,"seriously, what the fuck"
becuz,because
wtfiu,what the fuck is up
wtfit,what the fuck is that
aprece8,appreciate
4us,for us
rotflmmfao,rolling on the floor laughing my mother fucking ass off
wcw,webcam whore
wthauwf,what the hell are you waiting for
bizatch,bitch
bmvp,be my valentine please
gwrk,good work
asafp,as soon as fucking possible
fuxor,fucker
wruu2,what are you up to
3vi1,evil
wc3,warcraft iii
mgiwjsdchmw,my girlfriend is watching jeff so don't call her my wife
wtrud,what are you doing
ltnt,long time no talk
ltns,long time no see
tlk2me,talk to me
rotflmfaopimp,rolling on the floor laughing my fucking ass off peeing in my pants
ltnc,long time no see
gtgpp,got to go pee pee
bukket,bucket
lmfbo,laugh my fucking butt off
s'up,what is up
sool,shit out of luck
blnt,better luck next time
llol,literally laughing out loud
dbag,douchebag
dbab,don't be a bitch
fucktard,fucking retard
yiwtgo,"yes, i want to go private"
yty,why thank you
ytm,you tell me
ytf,why the fuck
ytd,year to date
jtc,join the club
etmda,explain it to my dumb ass
raoflmao,rolling around on floor laughing my ass off
tgws,that goes without saying
gwm,gay white male
gws,get well soon
tmai,tell me about it
m'kay,okay
fttp,for the time being
hve,have
p-nis,penis
iw2fu,i want to fuck you
roffle,rolling on the floor laughing
sked,schedule
cgad,couldn't give a damn
cgaf,couldn't give a fuck
betcha,bet you
idntk,i dont need to know
eil,explode into laughter
cigs,cigarettes
biaf,back in a few
rwb,rich white bitch
aeap,as early as possible
wwcnd,what would chuck norris do
wiwhu,wish i was holding you
webby,webcam
ih2gp,i have to go pee
fook,fuck
rombl,rolled off my bed laughing
foaf,friend of a friend
foad,fuck off and die
wtfs,what the fucking shit?
dbeyr,don't believe everything you read
dyth,damn you to hell
foah,fuck off asshole
wtfh,what the fucking hell
wtfo,what the fuck over
wtfm,"what the fuck, mate?"
wtfc,who the fuck cares
wtfb,what the fuck bitch
wtfg,what the fucking god
wtfe,what the fuck ever
ccl,couldn't care less
uttm, you talking to me?
t.t.y.l,talk to you later
noaa,national oceanic and atmospheric administration
ps2,play station 2
ps3,play station 3
ps1,play station 1
cn,can
lylad,love you like a dad
mmas,meet me after school
idbtwdsat,i don't believe they would do such a thing
pebcak,problem exists between chair and keyboard
psn,playstation netwok
aml,all my love
ama,ask me anything
psa,public service announcement
gonna,going to
amf,adios motherfucker
diacf,die in a car fire
psp,playstation portable
lyfao,laughing your fucking ass off
pst,please send tell
gjt,good job team
ynk,you never know
gjp,good job partner
whatcha,what are you
glbt,"gay, lesbian, bisexual, transgenderd"
huggle,hug and cuddle
igkymfa,i'm gonna kick your mother fucking ass
h.o,hold on
doypov,depends on your point of view
d1ck,dick
nmw,no matter what
nmu,"nothing much, you"
aykm,are you kidding me
asap,as soon as possible
habt,how about this
h4xrz,hackers
nmf,not my fault
nme,enemy
nmh,not much here
srs,serious
sry,sorry
wolo,we only live once
2nite,tonight
"nb,p","nothing bad, parents"
fudie,fuck you and die
fmbo,fuck my brains out
fmbb,fuck me baby
less than 3,love
chswm,come have sex with me
iwjk,i was just kidding
tsff,thats so fuckin funny
lof,laughing on floor
loi,laughing on the inside
lol,laughing out loud
lov,love
susfu,"situation unchanged, still fucked up"
biznatch,bitch
2m4u,too much for you
nxt,next
wazz,what's
skewl,school
wbagnfarb,would be a good name for a rock band
fgssu,for gods sake shut up
waz^,what's up?
bbiam,be back in a minute
bbiaf,be back in a few
bbiab,be back in a bit
bbiaw,be back in a while
cyal8r,see you later
bbias,be back in a second
tinstaafl,there is no such thing as a free lunch
d2t,drink to that
eejit,idiot
el!t,elite
prncss,princess
d2m,dead to me
yoy,why oh why
oidia,oops i did it again
wtfruttd,what the fuck are you trying to do
yor,your
bogsatt,bunch of guys sitting around the table
q33r,queer
b/cos,because
yo',your
prollz,probably
witfp,what is the fucking point
omgihv2p,oh my god i have to pee
messg,message
c2,come to
sl4n,so long for now
nmbr,number
wml,wish me luck
wmd,weapons of mass destruction
roflmfaopimp,rolling on the floor laughing my fucking ass off pissing in my pants
mpd,multiple personality disorder
mph,miles per hour
d/w,don't worry
scnr,"sorry, i couldn't resist"
qotsa,queens of the stone age
4sho,for sure
vajayjay,vagina
nbdy,nobody
@h,asshole
osd,on screen display
sprm,sperm
c-p,sleepy
mompl,moment please
cul8er,see you later
parnts,parents
ft2t,from time to time
4wd,forward
lomg,like oh my god
pwob,parent watching over back
loml,love of my life
llab,laughing like a bitch.
shiznit,shit
hammrd,hammered
pydim,put your dick in me
pwor,power
pwos,parent was over sholder
llap,live long and prosper
lurker,one who reads but doesn't reply
toya,thinking of you always
m8t,mate
nuffin,nothing
m8s,mates
rotfflmao,rolling on the fucking floor laughing my ass off
avtr,avatar
asl,"age, sex, location"
wdim,what did i miss
f8,fate
f9,fine
lollam,laughing out loud like a maniac
bffe,best friends forever
bffa,best friends for always
bffn,best friends for now
bffl,best friends for life
iono,i don't know
4col,for crying out loud
lmfr,lets meet for real
lrfl,laughing really fucking loud
phear,fear
mcds,mcdonalds
ooym,out of your mind
2ditd,today is the day
lmfo,laughing my face off
fp,first post
4311,hell
fs,for sure
ft,fuck that
fu,fuck you
fy,fuck you
fc,fruit cake
fe,fatal error
ff,friendly fire
fg,fucking gay
fi,fuck it
fk,fuck
fm,fuck me
gkys,go kill yourself
twys,talk with you soon
qfmft,quoted for motherfucking truth
bwpwap,back when pluto was a planet
wld,would
f@,fat
bich,bitch
fft,food for thought
ffs,for fuck's sake
ffr,for future reference
icbt,i can't believe that
icbu,i can't believe you
bcuz,because
atst,at the same time
icbi,i can't believe it
uve,you've
ffa,free for all
lirl,laughing in real life
rihad,rot in hell and die
yh,yeah
yk,you kidding
ym,your mom
yo,year old
sssd,same shit same day
ya,yeah
ye,yeah
lshmson,laughing so hard milk shot out nose
gmod,global moderator
ys,you suck
yr,year
yu,you
yt,you there?
yw,you're welcome
cex,sex
ruabog,are you a boy or girl
wtfaud,what the fuck are you doing?
fulla,full of
iff,if and only if
ttyitm,talk to you in the morning
h8t3r,hater
ifk,i fucking know
urtbitw,you are the best in the world!
i<3 u,i love you
lolcity,the whole city laughs out loud
kyfag,kiss your fucking ass goodbye
ygtbk,you've got to be kidding
tafn,that's all for now
d/l,download
d/m,doesn't matter
d/c,disconnected
mysm,miss you so much
wwjd,what would jesus do?
ykisa,your knight in shining armor
din't,didn't
msie,microsoft's internet explorer
asr,age sex race
duno,don't know
norwich,knickers off ready when i come home
thxx,thanks
ase,"age, sex, ethnicity"
dirl,die in real life
wltm,would like to meet
lmirl,let's meet in real life
lollercoaster,laugh out loud (a lot)
inho,in my honest opinion
edumacation,education
code 29,moderator is watching
wansta,wanna be ganster
wtfdum,what the fuck do you mean
idw2,i don't want to
ursab,you are such a bitch
wtfduw,what the fuck do you want?
tf2,team fortress 2
winnar,winner
st1,stoned
aiadw,all in a days work
st8,state
tfm,too fucking much
tfl,thanks for looking
tfh,thread from hell
tfd,total fucking disaster
ncs,no crap sherlock
tfa,the fucking article
idwt,i don't want to
tfb,time for bed
roids,steroids
idwk,i don't wanna know
tfu,that's fucked up
rawk,rock
tfs,thanks for sharing
std,sexually transmitted disease
stg,swear to god
stb,soon to be
dtl,damn the luck
dtb,don't text back
dta,don't trust anyone
sth,something
stt,same time tomorrow
stw,share the wealth
sts,so to speak
dts,don't think so
dtp,don't type please
rawr,roar
tyvm,thank you very much
fyeo,for your eyes only
lil,little
lim,like it matters
lih,laugh in head
lik,like
liu,look it up
liv,live
tff,that's fucking funny
smbt,suck my big toe
kah,kisses and hugs
kaw,kick ass work
tfc,team fortress classic
smbd,suck my big dick
tiafayh,thanks in advance for all your help
wats,whats
cyff,"change your font, fucker"
bzy,busy
jflts,just felt like typing something
n00dz,nudes
whenevs,whenever
buszay,busy
hmewrk,homework
lf1m,looking for one more
yme,why me
abend,absent by enforced net deprivation
dth,down to hang
xfer,transfer
masterb8,masterbate
2g2bt,too good to be true
kitfo,knock it the fuck off
stm,smiling to myself
stfuda,shut the fuck up dumb ass
s8ter,skater
oobl,out of breath laughing
woz,was
wkend,weekend
wot,what
lmmfaos,laughing my mother fucking ass off silly
rotffl,roll on the fucking floor laughing
bamofo,bitch ass mother fucker
yatwl,you are the weakest link
woe,what on earth
rlly,really
woa,word of advice
woc,welcome on cam
nifoc,naked in front of computer
damhik,don't ask me how i know
2moro,tomorrow
hthu,hurry the hell up
effed,fucked
dnrta,did not read the article
wtfwtf,what the fuck was that for?
tmr@ia,the monkeys are at it again
mego,my eyes glaze over
tfu2baw,time for you to buy a watch
anon,anonymous
rotflmfaopmp,rolling on the floor laughing my ass off pissin my pants
ttrf,"that's the rules, fucker"
2nyt,tonight
mstrb8r,masturbator
srvis,service
lgot,let's go out tonight
c/t,can't talk
enuff,enough
c/b,comment back
iiw2,is it web 2.0?
alotbsol,always look on the bright side of life
wdwdn,what do we do now
grillz,metal teeth
adl,all day long
iyd,in your dreams
iyf,in your face
iyc,if you can
iym,i am your man
iyo,in your opinion
iyq,i like you
uvgtbsm,you have got to be shiting me
bljb,blowjob
pach,parents are coming home
fyc,fuck your couch
42n8,fortunate
hoay,how old are you
2bad4u2,too bad for you too
fyf,fuck your face
hoas,hang on a second
fckm3hdbayb,fuck me hard baby
btdt,been there done that
shag,fuck
kthxgb,ok thanks goodbye
wyltk,wouldn't you like to know
wwwy,what's wrong with you
bbtn,be back tonite
mmlfs,married man looking for sex
aytf,are you there fucker
esbm,everyone sucks but me
gsp,get some pussy
mobo,motherboard
lic,like i care
whevah,where ever
gsd,getting shit done
gsi,go suck it
nutin,nothing
jttsiowctw,just testing to see if other websites copy this word
sydlm,shut your dirty little mouth
2gethr,together
bfhd,big fat hairy deal
2getha,together
grmbl,grumble
ight,alright
secksea,sexy
pnhlgd,"parents not home, let's get dirty"
fnar,for no apparent reason
donno,don't know
uayor,use at your own risk
yolo,you only live once
nizzle,nigger
yolt,you only live twice
lshipmp,laughing so hard i piss my pants
stfuysoab,shut the fuck up you son of a bitch
tl:dr,too long; didn't read
jtysk,just thought you should know
rhs,right hand side
ruk,are you ok?
ruh,are you horny
rua,are you alone
cgf,cute guy friend
gmao,giggling my ass off
som1,someone
gmab,give me a break
rut,are you there
tltpr,too long to proof read.
fosho,for sure
idr,i don't remember
idn,i don't know
idl,i don't like
idm,i don't mind
idk,i don't know
idc,i don't care
tofy,thinking of you
pnus,penis
wwhw,when where how why
wthau,who the hell are you
boffum,both of them
wtgds,way to go dumb shit
pww,parents were watching
iitywimwybmad,if i tell you what it means will you buy me a drink
pwd,password
pwb,pussy whipped bitch
7uck,fuck
pmsfl,pissed myself fucking laughing
pwn,made to look bad
noobz0r,newbie
dulm,do you like me
newez,anyways
uta,up the ass
frnd,friend
utm,you tell me
ihysm,i hate you so much
kuhl,cool
utw,used to work
uty,it's up to you
uber,over
snafubar,situation normal all fucked up beyond any recognition
fckin,fucking
pimha,pain in my hairy ass
ntta,nothing to talk about
ntty,nice talking to you
naa,not at all
btwn,between
nah,no
b/t,between
nao,not as often
b/w,between
naw,no
b/c,because
lmpo,laughing my panties off
b/g,background
nevar,never
evar,ever
oyfe,open your fucking eyes
evaa,ever
nevah,never
svn,seven
wdywd,what do you want to do?
svu,special victims unit
gw,good work
gu,grow up
gt,get
gp,good point
gy,gay
gg,good game
gf,girlfriend
rtf,return the favor
gb,go back
ga,go ahead
gn,good night
gm,good morning
gl,good luck
o/y,oh yeah
gj,good job
gh,good half
lke,like
tyty,thank you thank you
ex-bf,ex-boy friend
biach,bitch
tyto,take your top off
stfm,search the fucking manual
g2,go to
g1,good one
g0,go
g9,good night
g8,gate
roflmaouts,rolling on floor laughing my fucking ass off unable to speak
esl,eat shit loser
tlk2ul8r,talk to you later
gmfao,giggling my fucking ass off
lqtms,laughing quietly to myself
m84l,mate for life
btwitiailwu,by the way i think i am in love with you
sux0rz,sucks
zt,zoo tycoon
dhly,does he like you
ufic,unsolicited finger in chili
ufia,unsolicited finger in the anus
suxor,sucks
imvho,in my very humble opinion
onoez,oh no
vbg,very big grin
kutgw,keep up the good work
wif,with
wid,with
stfng,search the fucking news group
wio,without
wiw,wife is watching
wiv,with
wiu,what is up?
wit,with
wip,work in progress
gitar,guitar
rotflmho,rolling on the floor laughing my head off
gnstdltbbb,good night sleep tight don't let the bed bugs bite
inhwh,i need homework help
ttth,talk to the hand
iywt,if you want to
tttt,to tell the truth
efct,effect
cuple,couple
meeh,me
lazer,laser
ygtbkm,you got to be kidding me
dwai,don't worry about it
bmttveot,best mates till the very end of time
bcnu,be seeing you
aamof,as a matter of fact
hafta,have to
kewel,cool
farg,fuck
s'ok,it's okay
gng2,going to
wuny,wait until next year
scool,school
lolrof,laughing out loud while rolling on the floor.
tfic,tongue firmly in cheek
wad ^,what's up?
tdwdtg,the devil went down to georgia
a/m,away message
a/l,age and location
ohnoez,oh no
zomgzorrz,oh my god
omfgn,oh my fucking god noob
wwut,what were you thinking
phail,fail
bbvl,be back very later
diky,do i know you
diku,do i know you
2ez,too easy
evrytin,everything
gfurs,go fuck yourself
n/m,nevermind
n/n,nickname
n/o,no offense
hly,holy
n/a,not applicable
hlp,help
hlo,hello
hlm,he loves me
hll,hell
n/t,no text
hld,hold
hlb,horny little bastard
hla,hot lesbian action
lthtt,laughing too hard to type
ecf,error carried forward
snm,say no more
fnci,fancy
hl2,half-life 2
lalol,lots and lots of laughs
afaiu,as far as i understand
ilk2fku,i would like to fuck you
a/s/l/p,age/sex/location/picture
a/s/l/r,"age, sex, location, race"
5-oh,cop
blogger,web logger
d&df,drug & disease free
sosg,spouse over shoulder gone
pcbd,page cannot be displayed
ndit,no details in thread
g2gs,got to go sorry
g2gp,got to go pee
wths,want to have sex
sbcg4ap,strongbads cool game for attractive people
g2gb,got to go bye
g2ge,got to go eat
wtho,want to hang out?
g2gn,got to go now
be4,before
rsn,real soon now
cyu,see you
cyt,see you tomorrow
getcha,get you
ilulafklc,i love you like a fat kid loves cake.
cyb,cyber
cya,goodbye
tlkin,talking
ssob,stupid sons of bitches
cye,close your eyes
dynm,do you know me
rsp,respawn
cym,check your mail
cyl,see you later
dlibu,dont let it bother you
plzthx,please? thanks
un2bo,you need to back off
iluaaf,i love you as a friend
ilykthnxbai,i love you k thanks bye
icwudt,i see what you did there
mpih,my penis is hard
sw,so what
iwhswu,i want to have sex with you
prblm,problem
mabby,maybe
pyt,pretty young thing
bffeae,best friend for ever and ever
awk,awkward
xlnt,excellent
awb,acquaintance with benefits
ure,you are
2mro,tomorrow
urg,you are gay
ura,you are a
idfc,i don't fucking care
urw,you are weird
urs,yours
2mrw,tomorrow
brbts,be right back taking shit
12b,wannabe
wtfdyw,what the fuck do you want
hax0r,hacker
fuxing,fucking
anywaz,anyways
nowai,no way
ayec,at your earliest convenience
ngl,not gonna lie
idsw,i don't see why
trnsltr,translator
4lyf3,for life
tbp,the pirate bay
isianmtu,i swear i am not making this up
kyfc,keep your fingers crossed
tbh,to be honest
woft,waste of fucking time
bbbj,bare back blow job
tbc,to be continued
tbd,to be decided
tbf,to be fair
roflmgo,rolling on floor laughing my guts out
sht,shit
sdf^,shut da fuck up
shd,should
wiuwu,what is up with you
sho,sure
nuttin,nothing
funee,funny
luv,love
lub,laugh under breath
luf,love
lug,lesbian until graduation
flicks,pictures
luk,look
lul,love you lots
kek,laughing out loud
lu2,love you too
bstfu,bitch shut the fuck up
qft,quoted for truth
2o4s,too old for sex
w33d,weed
qfe,quoted for emphasis
afaik,as far as i know
mastrb8,masturbate.
aybabtu,all your base are belong to us
afaic,as far as i'm concerned
np4np,naked pic for naked pic
aybabtg,all your base are belong to google
m/f,male or female
afair,as far as i recall
poed,pissed off
2mora,tomorrow
h8tr,hater
